Salesprice,Seller,Fueltype,Gearbox,Mileage,Year,Cartype,Drivetype,Horspower,Color,Brand,Modell,Region
179900,Företag,Bensin,Automat,13800,2017,SUV,Fyrhjulsdriven,183,vit,Volkswagen,Golf,Göteborg
165000,Privat,Miljöbränsle/Hybrid,Automat,18223,2017,Kombi,Tvåhjulsdriven,218,grå,Volkswagen,Passat,Göteborg
199000,Företag,Diesel,Automat,7500,2016,Kombi,Fyrhjulsdriven,184,grå,Volkswagen,Golf,Göteborg
229900,Företag,Diesel,Manuell,15684,2016,Familjebuss,Tvåhjulsdriven,102,Silver,Volkswagen,Caravelle,Göteborg
189900,Företag,Bensin,Automat,14909,2022,Kombi,Tvåhjulsdriven,131,vit,Volkswagen,Golf,Göteborg
55500,Privat,Diesel,Automat,21391,2011,Kombi,Tvåhjulsdriven,105,Röd,Volkswagen,Golf,Göteborg
69900,Företag,Diesel,Manuell,23725,2013,Kombi,Tvåhjulsdriven,141,vit,Volkswagen,Passat,Göteborg
149000,Företag,Miljöbränsle/Hybrid,Automat,5100,2019,Kombi,Tvåhjulsdriven,131,Röd,Volkswagen,Golf,Göteborg
227900,Företag,Diesel,Automat,10391,2019,Kombi,Tvåhjulsdriven,191,vit,Volkswagen,Passat,Göteborg
219900,Företag,Bensin,Automat,6700,2019,Halvkombi,Tvåhjulsdriven,150,Blå,Volkswagen,Golf,Göteborg
109999,Privat,Bensin,Manuell,17989,2012,Cab,Tvåhjulsdriven,123,vit,Volkswagen,Golf,Göteborg
289800,Företag,El,Automat,10816,2021,SUV,Tvåhjulsdriven,207,Blå,Volkswagen,ID.4,Göteborg
184900,Företag,Bensin,Manuell,3323,2022,SUV,Tvåhjulsdriven,96,vit,Volkswagen,T-CROSS,Göteborg
259900,Företag,Diesel,Automat,9307,2021,Halvkombi,Tvåhjulsdriven,116,Svart,Volkswagen,Golf,Göteborg
259900,Företag,Miljöbränsle/Hybrid,Automat,11090,2022,Kombi,Tvåhjulsdriven,218,svart,Volkswagen,Passat,Göteborg
66000,Privat,Diesel,Manuell,15300,2012,Halvkombi,Tvåhjulsdriven,105,vit,Volkswagen,Golf,Göteborg
169900,Företag,Bensin,Automat,11623,2016,Sedan,Tvåhjulsdriven,150,Silver,Volkswagen,Passat,Göteborg
169900,Företag,Bensin,Manuell,6254,2020,Halvkombi,Tvåhjulsdriven,116,vit,Volkswagen,Golf,Göteborg
269 800,Företag,Diesel,Automat,6389,2021,Kombi,Fyrhjulsdriven,191,vit,Volkswagen,Passat,Göteborg
359 900,Företag,El,Automat,9382,2022,SUV,Fyrhjulsdriven,304,Silver,Volkswagen,ID.4,Göteborg
294 900,Företag,Bensin,Automat,4290,2022,SUV,Tvåhjulsdriven,151,grå,Volkswagen,Tiguan,Göteborg
